dataset,symbol,n_methods,tier,top_celltype,top_n_cells,max_mean,top_pct,log2_enrich_mean,log2_enrich_pct,ambient_index
GSE216039,ATF3,3,broad,Schwann,1492,1.0297,0.799,0.44,0.93,0.549
GSE216039,ACVR1,2,broad,Neuron,17562,0.1294,0.388,0.55,1.42,0.302
GSE216039,WDR81,2,broad,Immune,73,0.1079,0.164,0.58,0.08,0.177
GSE216039,AGRN,2,rare_compartment,Endothelial,31,0.2439,0.161,1.09,-0.42,0.241
GSE216039,FLNC,2,rare_compartment,Endothelial,31,0.1741,0.097,1.98,0.53,0.373
GSE216039,ITPKC,2,rare_compartment,Endothelial,31,0.0818,0.065,1.05,-0.76,0.288
GSE216039,NPY,2,rare_compartment,Endothelial,31,0.1225,0.065,1.2,0.02,0.868
GSE216039,SLC2A1,2,rare_compartment,Endothelial,31,0.3895,0.226,1.04,-0.5,0.352
GSE216039,WBP1L,2,rare_compartment,Endothelial,31,0.1673,0.129,0.79,-0.63,0.325
GSE216039,CDHR5,3,undetected,SatelliteGlia,847,0.0014,0.001,1.19,0.88,0.0
GSE216039,GALNS,3,undetected,Immune,73,0.0234,0.041,1.34,0.55,0.314
GSE216039,ANKRD1,2,undetected,Neuron,17562,0.0079,0.024,3.07,4.44,0.0
GSE216039,CCDC160,2,undetected,Endothelial,31,0.0685,0.032,1.15,-1.32,0.314
GSE216039,LNP1,2,undetected,Neuron,17562,0.0,0.0,0.03,0.3,0.0
GSE216039,MEGF11,2,undetected,SatelliteGlia,847,0.0439,0.04,3.94,2.59,0.0
GSE216039,REG3B,2,undetected,Neuron,17562,0.0034,0.009,1.07,1.09,1.108
GSE216039,SERPINE1,2,undetected,Endothelial,31,0.0583,0.032,1.98,0.92,0.0
GSE216039,VIP,2,undetected,Neuron,17562,0.0004,0.001,0.44,1.1,0.0
GSE246288,TFE3,3,broad,Oligodendrocyte,1045,0.8273,0.507,0.43,-0.17,0.552
GSE246288,TNS3,2,broad,Oligodendrocyte,1045,0.6509,0.416,0.46,-0.16,0.515
GSE246288,WDR81,2,broad,Oligodendrocyte,1045,0.2259,0.172,0.49,-0.28,0.586
GSE246288,SPRR1A,3,undetected,Neuron,4103,0.0004,0.001,0.5,0.79,0.0
GSE246288,ANKRD13B,2,undetected,Oligodendrocyte,1045,0.0166,0.011,1.09,0.09,0.269
GSE246288,CHL1,2,undetected,Endothelial,160,0.0028,0.006,1.84,2.75,0.0
GSE246288,CTTN,2,undetected,Ependymal,181,0.0032,0.006,1.66,2.41,4.469
GSE246288,ECEL1,2,undetected,Neuron,4103,0.0005,0.001,0.5,0.71,0.0
GSE246288,FLRT3,2,undetected,Endothelial,160,0.0098,0.013,3.03,3.37,0.0
GSE246288,ITPKC,2,undetected,Oligodendrocyte,1045,0.0543,0.042,0.82,0.13,0.528
GSE246288,MEGF11,2,undetected,OPC,233,0.0324,0.056,1.32,1.58,0.644
GSE246288,NPY,2,undetected,Neuron,4103,0.0003,0.0,0.36,0.53,0.0
GSE246288,SRRM4,2,undetected,Neuron,4103,0.0009,0.001,0.82,0.9,2.791
GSE246288,VASH2,2,undetected,Ependymal,181,0.0089,0.011,1.95,1.84,0.0
GSE328175,ATF3,3,ambient_caution,Microglia,1017,0.1232,0.077,3.11,2.88,2.585
GSE328175,AXL,2,ambient_caution,Microglia,1017,0.5867,0.326,2.4,1.83,3.111
GSE328175,TNS3,2,ambient_caution,Microglia,1017,1.766,0.812,1.89,1.4,1.772
GSE328175,ACVR1,2,broad,Microglia,1017,0.5538,0.354,0.33,-0.06,0.491
GSE328175,AGRN,2,rare_compartment,Endothelial,43,0.863,0.605,1.95,1.47,0.382
GSE328175,CCDC160,2,rare_compartment,Ependymal,87,0.1006,0.08,1.84,1.51,0.467
GSE328175,FLNC,2,rare_compartment,Ependymal,87,0.104,0.057,2.05,1.29,1.446
GSE328175,SLC2A1,2,rare_compartment,Endothelial,43,2.1266,0.93,3.58,2.78,1.279
GSE328175,CDHR5,3,undetected,Neuron,46349,0.0002,0.0,0.28,0.56,0.0
GSE328175,SPRR1A,3,undetected,Ependymal,87,0.0407,0.023,3.5,2.84,2.396
GSE328175,ANKRD1,2,undetected,Neuron,46349,0.0009,0.002,0.82,1.33,1.057
GSE328175,ECEL1,2,undetected,Neuron,46349,0.0405,0.062,1.16,1.7,0.573
GSE328175,ITPKC,2,undetected,Neuron,46349,0.0405,0.075,0.8,1.79,0.436
GSE328175,LNP1,2,undetected,Astrocyte,527,0.0023,0.002,1.42,1.01,0.0
GSE328175,NPY,2,undetected,Endothelial,43,0.0318,0.023,1.17,0.63,0.807
GSE328175,SERPINE1,2,undetected,Fibroblast_Meninges,125,0.0418,0.016,2.58,1.64,2.384
GSE328175,VIP,2,undetected,Endothelial,43,0.0413,0.023,4.83,3.89,0.595
